Designator,Comment,Footprint,Qty,DNP,JLCPCB Part #（optiona,Manufacturer_Part_Number
C1,22nF/50V,Capacitor_SMD:C_0402_1005Metric,1,,C107026,CC0402KRX7R9BB223
C2,100nF/50V,Capacitor_SMD:C_0402_1005Metric,1,,C152814,0402B104K500CT
C6,100nF/50V,Capacitor_SMD:C_0402_1005Metric,1,,C152814,0402B104K500CT
C7,4.7uF 10V,Capacitor_SMD:C_0402_1005Metric,1,,C368809,CL05A475KP5NRNC
C8,1uF/50V,Capacitor_SMD:C_0402_1005Metric,1,,C1518208,GRM155R61H105KE05D
C9,100nF/50V,Capacitor_SMD:C_0402_1005Metric,1,,C152814,0402B104K500CT
C10,100nF/50V,Capacitor_SMD:C_0402_1005Metric,1,,C152814,0402B104K500CT
R1,20K,Resistor_SMD:R_0402_1005Metric,1,,C384364,WR04X203JTL
R2,20K,Resistor_SMD:R_0402_1005Metric,1,,C384364,WR04X203JTL
R3,1K,Resistor_SMD:R_0402_1005Metric,1,,C163815,WR04X1001FTL
R6,20K,Resistor_SMD:R_0402_1005Metric,1,,C384364,WR04X203JTL
R7,100K,Resistor_SMD:R_0402_1005Metric,1,,C384388,WR04X104JTL
R8,NC,Resistor_SMD:R_0402_1005Metric,1,,,
R9,NC,Resistor_SMD:R_0402_1005Metric,1,,,
RV1,20K,Potentiometer_SMD:Potentiometer_Bourns_TC33X_Vertical,1,,C128550,VG039NCHXTB203
U1,TMC2209,TMC2209:QFN28_5X5_TRI,1,,C465949,TMC2209
U2,M.2-B-KEY,M.2-Templates:M.2-B-KEY,1,,,
