Designator,Val,Package,Mid X,Mid Y,Rot,Layer,Rotation
C1,22nF/50V,C_0402_1005Metric,139.2614,-116.6092,180,Bottom,180
C2,100nF/50V,C_0402_1005Metric,139.2714,-115.3192,180,Bottom,180
C6,100nF/50V,C_0402_1005Metric,149.2414,-113.9492,-90,Bottom,270
C7,4.7uF,C_0402_1005Metric,143.3114,-108.8792,-90,Bottom,270
C8,1uF/50V,C_0402_1005Metric,141.2914,-123.5492,-90,Bottom,270
C9,100nF/50V,C_0402_1005Metric,140.1614,-123.5492,-90,Bottom,270
C10,100nF/50V,C_0402_1005Metric,139.0414,-123.5392,-90,Bottom,270
R1,20K,R_0402_1005Metric,139.2614,-118.2992,0,Bottom,0
R2,20K,R_0402_1005Metric,145.3914,-108.8492,-90,Bottom,270
R3,1K,R_0402_1005Metric,146.5014,-108.8592,-90,Bottom,270
R6,20K,R_0402_1005Metric,144.3514,-108.8592,90,Bottom,90
R7,100K,R_0402_1005Metric,153.9514,-118.2292,180,Bottom,180
R8,NC,R_0402_1005Metric,139.2414,-114.2892,180,Bottom,180
R9,NC,R_0402_1005Metric,139.2614,-113.2792,0,Bottom,0
RV1,20K,Potentiometer_Bourns_TC33X_Vertical,152.3414,-106.9992,-90,Bottom,270
U1,TMC2209,QFN28_5X5_TRI,144.8459,-117.5766,0,Bottom,0
U2,M.2-B-KEY,M.2-B-KEY,144.78,-130.9,0,Top,0
